Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Full Description,Industries,Headquarters Location,Description,CB Rank (Company)
myRay,https://www.crunchbase.com/organization/myray,2004-01-01,year,"myRay is a modern development of a proven form of psychological treatment called Cognitive Behavioral Therapy (CBT). CBT has been widely used by psychologists and psychiatrists for many years and has been shown to be particularly helpful in the treatment of anxiety, depression, panic, stress and anger.",Health Care,"Oranim, Hefa, Israel",Peace of mind in a stressful world,"3,021,100"
CogniZance,https://www.crunchbase.com/organization/cognizance,2017-06-01,month,"CogniZance is a cognitively stimulating service for reinventing retirement through communication. The company helps you build a brain-training routine and stimulate short and long term memory, attentiveness and creativity. It keeps older adults sharp, creative and socially engaged. Through refreshing daily interactions and scientifically-based brain-training, users create and maintain a healthy routine. CogniZance exercises focus on real-life skills and are fun, inspiring, often challenging and thought-provoking. The users make more out of retirement, feeling driven, and connected. it uses statistical and machine learning algorithms to create a truly personalized experience. CogniZance was founded in June 2017 and is based in Tel Aviv, Israel.","Health Care, Personal Health, Retirement, Social Media Advertising, Training","Tel Aviv, Tel Aviv, Israel",CogniZance is a cognitively stimulating service for reinventing retirement through communication.,"3,092,147"
Ooja,https://www.crunchbase.com/organization/ooja,2009-01-01,day,"Ooja is an internet company that features an online platform that utilizes games designed for brain exercise addressing cognitive issues that affect on ADD and ADHD symptoms. Its platform focuses on addressing solutions about memory loss, ADD, and ADHD. The company was founded in 2009 and headquartered in HaMerkaz, Israel.","Gaming, Health Care, Internet","Kfar Saba, HaMerkaz, Israel",Ooja is an online platform that utilizes games designed for brain exercise addressing cognitive issues that affect on ADD and ADHD symptoms.,"3,097,815"
GMH FOR SINGLES APP,https://www.crunchbase.com/organization/gmh-for-singles-app,2010-08-01,day,"Our project is an international GPS dating and social networking application for iPhones , iPads and iPods. It automatically shows the user all the interesting people (4singles) that are around him/her at any given time and gives him/her the option to use all the following features to interact with those people:  * Cleaver quick-chat system which can send fun and flirty sentences determined by 4singles members  * Special gifts and emoticons to send to whomever the user chooses  * Unique search and filtering option that allow the user to locate just the right mate/date/friend for him/her (more than 40 different search parameters)  * Ability to send images via live chat  * Interactive rating system and ability to view who has been ranked the highest and lowest within the community  * A â€œview meâ€ feature which allows other users to see each persons ratings, images, interests and gifts and who sent them.  * Exclusive credit system called â€œMojo pointsâ€ which gives the user various amounts of points for everything that he/she does on the application. The user will also be given a shopping list of gifts he/she can purchase with the Mojo points to offer to other 4singles thus making the interaction more interesting.  * The ability to connect and share info via all of the major social networking platforms available today as well as person email.","iOS, Mobile, Psychology","Tel Aviv, Tel Aviv, Israel",4singles Social network and daiting,"3,132,000"
Alfa Rhythm,https://www.crunchbase.com/organization/alfa-rhythm,2014-01-01,day,,"Health Care, Medical Device","Qiryat Bialik, Hefa, Israel","Alfa Rhythm offers wellness devices for mental and physical wellbeing, depression and neurological disorders monitoring.","3,136,150"
ListenUp Technologies,https://www.crunchbase.com/organization/listenup-technologies,2014-01-01,year,"ListenUp Technologies is developing a solution that enables a better understanding of speech. The company's patent-pending technology slows down speech while keeping it ""natural""​ and maintaining synchronicity with video. This enables a better understanding of speech by allowing more time for cognitive processing and understanding. ListenUp Technologies was founded in 2014 and is based in Kfar Saba, HaMerkaz, Israel.","Speech Recognition, Telecommunications","Kfar Saba, HaMerkaz, Israel",ListenUp Technologies is developing a solution that enables a better understanding of speech.,"3,170,177"
Sagacity Systems,https://www.crunchbase.com/organization/sagacity-systems,2005-01-01,year,"Sagacity Systems has developed mindQ, a computer-aided survey program, which utilizes a unique and innovative research model that combines qualitative psychological projective techniques with a quantitative research platform. In addition to asking basic quantitative (such as textual and scaling) questions, mindQ enables researchers to gain valuable insight about consumer behavior, needs and desires by utilizing advanced technology and research tools from the cognitive psychology field. Using mindQ, researchers may design a survey, send it to respondents by email or via survey panels, and produce deeply insightful results instantaneously.","Analytics, Big Data, Information Technology","Petah Tiqva, HaMerkaz, Israel",MindQ- Empowering your research creativity,"3,194,476"
BiondMetric,https://www.crunchbase.com/organization/biondmetric,,,"BiondMetric is a cognitive identification solution for mobile and wearable devices. It is based in Tel Aviv, Israel.",FinTech,"Tel Aviv-yafo, Tel Aviv, Israel",BiondMetric is a cognitive identification solution for mobile and wearable devices.,"3,211,617"
JOYA 4U,https://www.crunchbase.com/organization/joya-4u,2007-01-01,year,,"Consulting, Fashion","Tel Aviv, Tel Aviv, Israel","JOYA 4U specializes in high end, innovative pleasure toys, having a unique blend of style, ergonomics and psychology,with a wink to fashion.","3,227,573"
mmcubit,https://www.crunchbase.com/organization/mmcubit,2015-09-01,day,"Our Vision: Great things are simple The total connectivity era has begun. Following the Mobile revolution, now the Internet of Things removed the last remaining boundaries between the digital world and the physical one. The way we experience our environment is changing forever. mmcubit set to be a driving force of that change by creating tools for people that live in this evolving world. All truly great things are simple. Our product philosophy resonating with a hundreds years old idea of Occam's razor, to look through the noise for a simple and elegant solution for complex challenges. We are focusing on market inefficiencies and seek to solve them using cutting-edge technology, beautiful design and deep understanding of user’s needs motivations and experience. All our development is done in-house by our all-stars engineering team in a close tandem with our outstanding product experts. As we believe in looking at a challenge from a diverse set of angles, our team built from a broad spectrum of talents and skills; psychology experts along with market leaders to technology professionals.","E-Commerce Platforms, Gamification, Location Based Services, Mobile, Mobile Advertising","Jerusalem, Yerushalayim, Israel",Digital innovation house specializing in state of the art geo-data driven solutions for mobile users and businesses.,"3,240,212"
Positive Apps,https://www.crunchbase.com/organization/positive-apps,2011-01-01,year,,"Mobile Apps, Software, Web Development","Rishon Le Zion, HaMerkaz, Israel",Positive Apps develops mobile applications for personal development and mental well-being.,
